A0,propensityY1,propensityY2,propensityY3,propensityY4,propensityY5,propensityY6,propensityY7,propensityY8,propensityY9,propensityY10,propensityY11,propensityY12,propensityY13
114,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
115,0.008755694,0.010284253,0.012076415,0.014176411,0.01663543,,,,,,,,
116,0.128949983,0.14832213,0.170036442,0.910588839,0.062350588,,,,,,,,
117,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
118,0.066412637,0.077222713,0.022568321,0.026443942,0.574512592,,,,,,,,
119,0.027995577,0.032771963,0.038331122,0.044789623,0.052277175,,,,,,,,
120,0.008755694,0.010284253,0.012076415,0.014176411,0.01663543,,,,,,,,
121,0.009562049,0.011229785,0.013184523,0.015474192,0.018154177,,,,,,,,
122,0.009562049,0.011229785,0.013184523,0.015474192,0.018154177,,,,,,,,
123,0.066412637,0.077222713,0.022568321,0.026443942,0.030964034,,,,,,,,
124,0.066412637,0.077222713,0.089623442,0.103791547,0.030964034,,,,,,,,
125,0.252531488,0.085267123,0.098821314,0.114260967,0.865096063,,,,,,,,
126,0.548954724,0.859245923,0.877771475,0.664587834,0.699781967,,,,,,,,
127,0.009562049,0.011229785,0.013184523,0.015474192,0.018154177,,,,,,,,
128,0.039535979,0.046187738,0.706503502,0.739026584,0.769123433,,,,,,,,
130,0.047276734,0.055156053,0.015851071,0.018595095,0.021803621,,,,,,,,
132,0.061107939,0.071120339,0.020688075,0.024248816,0.028404639,,,,,,,,
133,0.008755694,0.010284253,0.012076415,0.014176411,0.01663543,,,,,,,,
134,0.019716465,0.023113923,0.027080644,0.031706023,0.037091299,,,,,,,,
135,0.017838398,0.020919141,0.024518656,0.028719364,0.033614966,,,,,,,,
136,0.019716465,0.023113923,0.027080644,0.031706023,0.037091299,,,,,,,,
137,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
138,0.019716465,0.023113923,0.027080644,0.031706023,0.619443273,,,,,,,,
139,0.066412637,0.077222713,0.022568321,0.026443942,0.030964034,,,,,,,,
140,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
141,0.015035396,0.017640748,0.020688075,0.095807609,0.5526479,,,,,,,,
142,0.109371795,0.126228943,0.038331122,0.044789623,0.052277175,,,,,,,,
143,0.016410504,0.01924948,0.089623442,0.830330807,0.852006583,,,,,,,,
144,0.030400343,0.035571997,0.041585709,0.048564888,0.056646131,,,,,,,,
145,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
146,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
147,0.019716465,0.023113923,0.027080644,0.580477281,0.037091299,,,,,,,,
148,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
150,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
151,0.027995577,0.032771963,0.62746433,0.664587834,0.699781967,,,,,,,,
152,0.011504498,0.013506401,0.015851071,0.018595095,0.086788403,,,,,,,,
153,0.019716465,0.023113923,0.106087642,0.580477281,0.619443273,,,,,,,,
154,0.862176635,0.880370161,0.896450475,0.910588839,0.922962682,,,,,,,,
155,0.459432942,0.499956798,0.540481222,0.031706023,0.037091299,,,,,,,,
156,0.128949983,0.14832213,0.045847239,0.053501691,0.062350588,,,,,,,,
157,0.066412637,0.01924948,0.022568321,0.534403991,0.574512592,,,,,,,,
158,0.017838398,0.020919141,0.024518656,0.028719364,0.033614966,,,,,,,,
159,0.047276734,0.055156053,0.015851071,0.018595095,0.021803621,,,,,,,,
160,0.862176635,0.880370161,0.896450475,0.704892611,0.737527884,,,,,,,,
161,0.019716465,0.023113923,0.027080644,0.031706023,0.037091299,,,,,,,,
162,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
163,0.109371795,0.126228943,0.145260479,0.044789623,0.052277175,,,,,,,,
164,0.434223323,0.793794641,0.024518656,0.028719364,0.033614966,,,,,,,,
165,0.008755694,0.010284253,0.012076415,0.014176411,0.01663543,,,,,,,,
166,0.031176102,0.036474761,0.042634346,0.049780374,0.058051533,,,,,,,,
167,0.071873345,0.083492776,0.096794761,0.111957125,0.129154958,,,,,,,,
168,0.120649786,0.138973941,0.159576107,0.182584786,0.208089576,,,,,,,,
169,0.163675704,0.187143862,0.213119457,0.241628726,0.272630378,,,,,,,,
170,0.1914961,0.217913839,0.246863252,0.278290058,0.312059929,,,,,,,,
171,0.033555775,0.14832213,0.896450475,0.910588839,0.922962682,,,,,,,,
172,0.027995577,0.032771963,0.038331122,0.044789623,0.052277175,,,,,,,,
173,0.838429381,0.859245923,0.877771475,0.894159103,0.908578418,,,,,,,,
