
Categorical variable freqs (actual CHDS):

"z1single"
"","Actual (%)"
"householdsize6",2,3,4,4,5,6,9
"householdsize7",2,3,4,4,5,6,9
"householdsize8",2,4,4,4,5,6,9
"householdsize9",2,3,4,4,5,6,9
"householdsize10",2,3,4,5,5,6,9
"householdsize11",2,3,4,4,5,6,9
"householdsize12",2,3,4,4,5,6,9
"householdsize13",2,3,4,4,5,6,9 
 "chres"
"","0%","10%","25%","50%","75%","90%","100%"
"chres1",0,0,0,0,1,2,13
"chres2",0,0,0,0,1,1,6
"chres3",0,0,0,0,0,1,8
"chres4",0,0,0,0,0,1,8
"chres5",0,0,0,0,0,1,9
"chres6",0,0,0,0,0,1,9
"chres7",0,0,0,0,0,1,4
"chres8",0,0,0,0,0,1,4
"chres9",0,0,0,0,0,1,4
"chres10",0,0,0,0,0,1,4
"chres11",0,0,0,0,0,1,9
"chres12",0,0,0,0,0,1,9
"chres13",0,0,0,0,0,1,5 
 "mhrswrk"
"","0%","10%","25%","50%","75%","90%","100%"
"mhrswrk1",0,0,0,0,0,10.8,84
"mhrswrk2",0,0,0,0,4,16,97
"mhrswrk3",0,0,0,0,4,16,97
"mhrswrk4",0,0,0,0,8,20,97
"mhrswrk5",0,0,0,0,10,24,97
"mhrswrk6",0,0,0,0,15,27,90
"mhrswrk7",0,0,0,0,16,30,97
"mhrswrk8",0,0,0,5,20,32.5,85
"mhrswrk9",0,0,0,9,22,38,80
"mhrswrk10",0,0,0,10,25,40,96
"mhrswrk11",0,0,0,13,27,40,80
"mhrswrk12",0,0,0,15.5,30,40,95
"mhrswrk13",0,0,0,16,32,40,95 
 "fhrswrk"
"","0%","10%","25%","50%","75%","90%","100%"
"fhrswrk1",0,20.6,40,40,48,55,90
"fhrswrk2",0,30.4,40,40,49.5,60,97
"fhrswrk3",0,0,40,40,50,56,97
"fhrswrk4",0,0,40,40,50,60,97
"fhrswrk5",0,20.6,40,40,48,55,90
"fhrswrk6",0,0,40,40,50,60,97
"fhrswrk7",0,0,40,40,50,60,97
"fhrswrk8",0,0,40,40,50,60,90
"fhrswrk9",0,0,40,40,50,60,97
"fhrswrk10",0,0,38,40,50,60,96
"fhrswrk11",0,0,40,40.5,50,60,95
"fhrswrk12",0,0,37,43,50,60,90
"fhrswrk13",0,0,37.75,42,50,60,97 
 "msmoke"
"","0%","10%","25%","50%","75%","90%","100%"
"msmoke1",0,0,0,0,10,20,40
"msmoke2",0,0,0,0,8,20,65
"msmoke3",0,0,0,0,5,20,60
"msmoke4",0,0,0,0,5,20,60
"msmoke5",0,0,0,0,7,20,50
"msmoke6",0,0,0,0,6,20,50
"msmoke7",0,0,0,0,6,20,60
"msmoke8",0,0,0,0,5,20,70
"msmoke9",0,0,0,0,3,20,50
"msmoke10",0,0,0,0,1,20,60
"msmoke11",0,0,0,0,0,20,50
"msmoke12",0,0,0,0,0,15,40
"msmoke13",0,0,0,0,0,18,50 
 "fsmoke"
"","0%","10%","25%","50%","75%","90%","100%"
"fsmoke1",0,0,0,0,10,20,60
"fsmoke2",0,0,0,0,10,20,40
"fsmoke3",0,0,0,0,6,20,40
"fsmoke4",0,0,0,0,6,20,60
"fsmoke5",0,0,0,0,8,20,50
"fsmoke6",0,0,0,0,5,20,50
"fsmoke7",0,0,0,0,5,20,50
"fsmoke8",0,0,0,0,4.25,20,60
"fsmoke9",0,0,0,0,1.25,20,60
"fsmoke10",0,0,0,0,0,20,50
"fsmoke11",0,0,0,0,0,20,50
"fsmoke12",0,0,0,0,0,20,40
"fsmoke13",0,0,0,0,0,20,50 
 "gpmorb"
"","0%","10%","25%","50%","75%","90%","100%"
"gpmorb1",0,0,1,2,4,6,12
"gpmorb2",0,1,1,3,5,7,12
"gpmorb3",0,0,1,2,5,7,12
"gpmorb4",0,0,1,2,4,7,10
"gpmorb5",0,0,1,2,4,7,10
"gpmorb6",0,0,1,2,4,7,22
"gpmorb7",0,0,0,2,3,6,19 
 "gpprev"
"","0%","10%","25%","50%","75%","90%","100%"
"gpprev1",0,2,2,3,3,3,6
"gpprev2",0,1,2,2,2,2,3
"gpprev3",0,0,0,0,0,0,2
"gpprev4",0,0,0,0,0,1,3
"gpprev5",0,0,0,0,1,1,2
"gpprev6",0,0,0,0,1,1,1
"gpprev7",0,0,0,0,0,0,1 
 "gpresp"
"","0%","10%","25%","50%","75%","90%","100%"
"gpresp1",0,0,0,1,2,4,12
"gpresp2",0,0,0,1,3,4,10
"gpresp3",0,0,0,1,2,4,12
"gpresp4",0,0,0,1,2,4,10
"gpresp5",0,0,0,1,2,4,10
"gpresp6",0,0,0,1,3,5,17
"gpresp7",0,0,0,1,2,4,17
"gpresp8",0,0,0,0,2,4,11
"gpresp9",0,0,0,0,1,3,11
"gpresp10",0,0,0,0,1,3,11 
 "gptotvis"
"","0%","10%","25%","50%","75%","90%","100%"
"gptotvis1",0,3,4,5,7,10,19
"gptotvis2",0,2,3,5,7,9,46
"gptotvis3",0,0,1,2,5,7,26
"gptotvis4",0,0,1,2,4,7,19
"gptotvis5",0,0,1,2,4,7,31
"gptotvis6",0,0,1,3,5,7,22
"gptotvis7",0,0,0,2,3,6,19
"gptotvis8",0,0,0,1,3,5,24
"gptotvis9",0,0,0,1,3,5,25
"gptotvis10",0,0,0,1,2,4,16 
 "hadmtot"
"","0%","10%","25%","50%","75%","90%","100%"
"hadmtot1",0,0,0,0,0,1,6
"hadmtot2",0,0,0,0,0,0,5
"hadmtot3",0,0,0,0,0,0,3
"hadmtot4",0,0,0,0,0,0,3
"hadmtot5",0,0,0,0,0,0,2
"hadmtot6",0,0,0,0,0,0,6
"hadmtot7",0,0,0,0,0,0,4
"hadmtot8",0,0,0,0,0,0,5
"hadmtot9",0,0,0,0,0,0,3
"hadmtot10",0,0,0,0,0,0,2 
 "houtptot"
"","0%","10%","25%","50%","75%","90%","100%"
"houtptot1",0,0,0,0,0,1,15
"houtptot2",0,0,0,0,0,2,18
"houtptot3",0,0,0,0,0,1,13
"houtptot4",0,0,0,0,0,1.60000000000002,20
"houtptot5",0,0,0,0,0,2,14
"houtptot6",0,0,0,0,0,2,19
"houtptot7",0,0,0,0,0,1,27
"houtptot8",0,0,0,0,0,1,18
"houtptot9",0,0,0,0,0,1,10
"houtptot10",0,0,0,0,0,1,22 
 "BURT"
"","0%","10%","25%","50%","75%","90%","100%"
"BURT8",0,25,32,43,56,69,99
"BURT9",0,31,39,53,68,80,106
"BURT10",0,37,48,64,80,91,108
"BURT11",0,42,56,75,89,97,109
"BURT12",11,49,67,83,95,101,109
"BURT13",13,57,76,90,99,104,110 
 "cond"
"","0%","10%","25%","50%","75%","90%","100%"
"cond6",9,9,9,10,11.5,13,21
"cond7",20.5,21,22,23.5,26,30,45.5
"cond8",20.5,21,21.5,23,26,29.5,50
"cond9",20.5,21,21.5,23,26,30.85,53.5
"cond10",20.5,21,21.5,23.5,26.5,31,51.5 

Continuous variable distributions (actual CHDS):

"kids"
"","year 1","year 2","year 3","year 4","year 5","year 6","year 7","year 8","year 9","year 10","year 11","year 12","year 13"
"1",39.6263520157326,31.2007874015748,16.7158308751229,12.1927236971485,9.43952802359882,7.95228628230616,7.45967741935484,6.55737704918033,6.74273858921162,7.20250521920668,7.12765957446809,7.23684210526316,7.99112097669256
"2",36.3815142576205,41.8307086614173,52.1140609636185,52.015732546706,50.0491642084562,47.9125248508946,45.4637096774194,44.7745901639344,44.2946058091286,43.9457202505219,43.8297872340426,44.6271929824561,44.284128745838
"3",17.4041297935103,19.6850393700787,22.0255653883972,25.4670599803343,28.7118977384464,30.9145129224652,31.8548387096774,32.2745901639344,32.4688796680498,31.419624217119,32.0212765957447,31.5789473684211,32.7413984461709
"4",4.52310717797443,5.21653543307087,6.68633235004916,7.27630285152409,8.94788593903638,10.1391650099404,11.491935483871,13.0122950819672,12.9668049792531,14.0918580375783,13.4042553191489,13.2675438596491,12.0976692563818
"5",1.17994100294985,1.27952755905512,1.67158308751229,1.96656833824975,1.86823992133727,1.98807157057654,2.52016129032258,1.84426229508197,2.59336099585062,2.50521920668058,2.5531914893617,2.41228070175439,1.99778024417314
"6",0.491642084562439,0.492125984251969,0.393313667649951,0.491642084562439,0.491642084562439,0.695825049701789,0.504032258064516,0.819672131147541,0.4149377593361,0.417536534446764,0.638297872340425,0.657894736842105,0.554938956714761
"7",0.196656833824975,0.196850393700787,0.294985250737463,0.491642084562439,0.393313667649951,0.298210735586481,0.403225806451613,0.204918032786885,0.20746887966805,0.313152400835073,0.212765957446809,0.109649122807018,0.221975582685905
"8",0.0983284169124877,0,0,0,0,0.099403578528827,0.201612903225806,0.307377049180328,0.311203319502075,0,0.106382978723404,0.109649122807018,0.110987791342952
"9",0,0,0,0,0.0983284169124877,0,0.100806451612903,0.102459016393443,0,0.104384133611691,0.106382978723404,0,0
"10",0.0983284169124877,0.0984251968503937,0.0983284169124877,0.0983284169124877,0,0,0,0.102459016393443,0,0,0,0,0 
 "householdsize"
"","year 1","year 2","year 3","year 4","year 5","year 6","year 7","year 8","year 9","year 10","year 11","year 12","year 13"
"2",2.06489675516224,2.65748031496063,2.85152409046214,3.04818092428712,2.45821042281219,2.28628230616302,2.11693548387097,1.63934426229508,2.17842323651452,2.08768267223382,2.02127659574468,1.97368421052632,2.44173140954495
"3",32.9400196656834,26.4763779527559,14.0609636184857,10.2261553588987,8.35791543756146,8.4493041749503,8.36693548387097,8.29918032786885,9.02489626556017,9.49895615866388,9.14893617021277,9.9780701754386,10.7658157602664
"4",36.6764995083579,41.1417322834646,50.4424778761062,48.8692232055064,46.2143559488692,44.234592445328,41.3306451612903,41.1885245901639,39.4190871369295,37.9958246346555,39.6808510638298,40.6798245614035,39.1786903440622
"5",19.0757128810226,20.7677165354331,21.7305801376598,25.5653883972468,29.1052114060964,30.5168986083499,32.4596774193548,31.3524590163934,32.0539419087137,31.6283924843424,31.2765957446809,29.1666666666667,32.519422863485
"6",5.99803343166175,5.70866141732284,7.57128810226155,7.86627335299902,10.0294985250737,10.5367793240557,11.9959677419355,13.1147540983607,13.0705394190871,13.6743215031315,12.7659574468085,14.2543859649123,11.0987791342952
"7",1.37659783677483,1.77165354330709,2.16322517207473,2.85152409046214,2.55653883972468,2.5844930417495,2.41935483870968,2.04918032786885,2.80082987551867,3.65344467640919,3.40425531914894,2.5219298245614,2.5527192008879
"8",0.983284169124877,0.688976377952756,0.393313667649951,0.884955752212389,0.491642084562439,0.695825049701789,0.604838709677419,0.819672131147541,0.933609958506224,0.835073068893528,1.06382978723404,0.767543859649123,0.998890122086571
"9",0.294985250737463,0.492125984251969,0.491642084562439,0.688298918387414,0.786627335299902,0.695825049701789,0.705645161290323,1.53688524590164,0.518672199170124,0.626304801670146,0.638297872340425,0.657894736842105,0.443951165371809
"10",0.294985250737463,0.0984251968503937,0.196656833824975,0,0,0,0,0,0,0,0,0,0
"11",0.0983284169124877,0,0,0,0,0,0,0,0,0,0,0,0
"12",0.0983284169124877,0.0984251968503937,0.0983284169124877,0,0,0,0,0,0,0,0,0,0
"13",0,0.0984251968503937,0,0,0,0,0,0,0,0,0,0,0
"14",0.0983284169124877,0,0,0,0,0,0,0,0,0,0,0,0 
 "chres"
"","year 1","year 2","year 3","year 4","year 5","year 6","year 7","year 8","year 9","year 10","year 11","year 12","year 13"
"0",66.7649950835792,72.7362204724409,78.1710914454277,78.3677482792527,81.7109144542773,84.7912524850895,85.1814516129032,82.6844262295082,84.9585062240664,83.1941544885177,86.2765957446808,85.5263157894737,84.0177580466149
"1",20.9439528023599,18.6023622047244,15.732546705998,14.6509341199607,12.5860373647984,11.6302186878728,12.7016129032258,13.5245901639344,11.9294605809129,14.0918580375783,10.8510638297872,11.4035087719298,12.5416204217536
"2",6.98131760078663,5.90551181102362,4.031465093412,5.30973451327434,3.83480825958702,2.98210735586481,1.61290322580645,2.45901639344262,2.28215767634855,1.67014613778706,1.91489361702128,1.42543859649123,2.5527192008879
"3",2.3598820058997,1.67322834645669,1.17994100294985,0.688298918387414,0.884955752212389,0.397614314115308,0.30241935483871,1.02459016393443,0.622406639004149,0.626304801670146,0.638297872340425,1.20614035087719,0.665926748057714
"4",0.983284169124877,0.885826771653543,0.491642084562439,0.491642084562439,0.589970501474926,0,0.201612903225806,0.307377049180328,0.20746887966805,0.417536534446764,0.106382978723404,0.219298245614035,0
"5",0.491642084562439,0.0984251968503937,0.196656833824975,0.196656833824975,0,0,0,0,0,0,0.106382978723404,0.109649122807018,0.221975582685905
"6",0.393313667649951,0.0984251968503937,0,0.196656833824975,0.0983284169124877,0,0,0,0,0,0,0,0
"7",0.196656833824975,0,0.0983284169124877,0,0.0983284169124877,0,0,0,0,0,0,0,0
"8",0,0,0.0983284169124877,0.0983284169124877,0,0,0,0,0,0,0,0,0
"9",0.786627335299902,0,0,0,0.196656833824975,0.198807157057654,0,0,0,0,0.106382978723404,0.109649122807018,0
"13",0.0983284169124877,0,0,0,0,0,0,0,0,0,0,0,0 
 "mhrswrk"
"","year 1","year 2","year 3","year 4","year 5","year 6","year 7","year 8","year 9","year 10","year 11","year 12","year 13"
"0",76.204523107178,69.1699604743083,69.7420634920635,63.4097706879362,57.847976307996,52.8471528471528,51.1746680286006,45.2868852459016,39.3153526970954,37.7220480668757,35.2127659574468,32.0175438596491,30.5216426193119
"1",1.17994100294985,0.889328063241107,0.595238095238095,0.897308075772682,0.69101678183613,0.2997002997003,0.408580183861083,0.512295081967213,0.20746887966805,0.313479623824451,0.425531914893617,0.219298245614035,0.221975582685905
"2",1.67158308751229,2.07509881422925,1.88492063492063,1.89431704885344,2.07305034550839,1.3986013986014,1.02145045965271,0.922131147540984,0.311203319502075,0.83594566353187,0.638297872340425,0.548245614035088,0.554938956714761
"3",1.37659783677483,1.6798418972332,1.48809523809524,1.29611166500499,1.77690029615005,1.5984015984016,1.83861082737487,1.12704918032787,1.2448132780083,1.14942528735632,0.74468085106383,0.767543859649123,0.998890122086571
"4",2.26155358898722,1.97628458498024,2.18253968253968,2.09371884346959,2.56663376110563,1.6983016983017,1.63432073544433,1.53688524590164,1.86721991701245,0.731452455590387,0.957446808510638,0.767543859649123,1.44284128745838
"5",1.5732546705998,2.37154150197628,1.28968253968254,2.29312063808574,2.66535044422507,1.998001998002,1.53217568947906,1.84426229508197,1.14107883817427,1.88087774294671,1.27659574468085,1.09649122807018,1.66481687014428
