"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"42",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",16,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
"45",47,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
"46",13,0,0,0,0,0,0,0,0,27,24,0,0,0,0,0,0,0,0,0,0
"47",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",61,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
"51",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",10,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",3,0,0,0,0,0,0,0,14,0,0,17,0,0,0,0,0,0,0,0,0
"56",5,0,0,0,0,0,0,0,0,0,0,0,15,20,20,22,16,29,19,25,18
"57",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",23,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
"61",8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",2,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"67",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0
"70",2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"91",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
